,t,epsilon,samples,w,particle_id,distance,par_name,par_val,sumstat_name,sumstat_val
0,0,132.2359656630916,295,0.01,2,127.16549617771898,erode__k_depth_scale,4886.966077879565,data,"[[    0.             0.             0.         ...     0.
      0.             0.        ]
 [    0.             0.             0.         ...     0.
      0.             0.        ]
 [    0.             0.             0.         ...     0.
      0.             0.        ]
 ...
 [ -295.24437404  -710.46610463 -1239.39351022 ... -5196.65495112
  -5061.2162365  -4742.91370606]
 [ -296.84819276  -714.32547991 -1246.12611103 ... -5224.88408339
  -5088.70964215 -4768.67803707]
 [ -297.33210995  -715.48996192 -1248.15752594 ... -5233.40160611
  -5097.00517546 -4776.45185997]]"
1,0,132.2359656630916,295,0.01,2,127.16549617771898,erode__k_factor,0.17817232410803108,data,"[[    0.             0.             0.         ...     0.
      0.             0.        ]
 [    0.             0.             0.         ...     0.
      0.             0.        ]
 [    0.             0.             0.         ...     0.
      0.             0.        ]
 ...
 [ -295.24437404  -710.46610463 -1239.39351022 ... -5196.65495112
  -5061.2162365  -4742.91370606]
 [ -296.84819276  -714.32547991 -1246.12611103 ... -5224.88408339
  -5088.70964215 -4768.67803707]
 [ -297.33210995  -715.48996192 -1248.15752594 ... -5233.40160611
  -5097.00517546 -4776.45185997]]"
2,0,132.2359656630916,295,0.01,2,127.16549617771898,erode__k_depth_scale,4886.966077879565,params_for_record,[1.78172324e-01 4.88696608e+03]
3,0,132.2359656630916,295,0.01,2,127.16549617771898,erode__k_factor,0.17817232410803108,params_for_record,[1.78172324e-01 4.88696608e+03]
4,0,132.2359656630916,295,0.01,3,108.11300128636695,erode__k_depth_scale,15045.991884044086,data,"[[    0.             0.             0.         ...     0.
      0.             0.        ]
 [    0.             0.             0.         ...     0.
      0.             0.        ]
 [  259.75749265   618.58463767  1072.82280778 ...     0.
      0.             0.        ]
 ...
 [ -295.24437404  -710.46610463 -1239.39351022 ... -5196.65495112
  -5061.2162365  -4742.91370606]
 [ -296.84819276  -714.32547991 -1246.12611103 ... -5224.88408339
  -5088.70964215 -4768.67803707]
 [ -297.33210995  -715.48996192 -1248.15752594 ... -5233.40160611
  -5097.00517546 -4776.45185997]]"
5,0,132.2359656630916,295,0.01,3,108.11300128636695,erode__k_factor,-1.052140945728433,data,"[[    0.             0.             0.         ...     0.
      0.             0.        ]
 [    0.             0.             0.         ...     0.
      0.             0.        ]
 [  259.75749265   618.58463767  1072.82280778 ...     0.
      0.             0.        ]
 ...
 [ -295.24437404  -710.46610463 -1239.39351022 ... -5196.65495112
  -5061.2162365  -4742.91370606]
 [ -296.84819276  -714.32547991 -1246.12611103 ... -5224.88408339
  -5088.70964215 -4768.67803707]
 [ -297.33210995  -715.48996192 -1248.15752594 ... -5233.40160611
  -5097.00517546 -4776.45185997]]"
6,0,132.2359656630916,295,0.01,3,108.11300128636695,erode__k_depth_scale,15045.991884044086,params_for_record,[-1.05214095e+00  1.50459919e+04]
7,0,132.2359656630916,295,0.01,3,108.11300128636695,erode__k_factor,-1.052140945728433,params_for_record,[-1.05214095e+00  1.50459919e+04]
8,0,132.2359656630916,295,0.01,4,106.65215468452827,erode__k_depth_scale,27307.760324757,data,"[[  201.89965727   485.08638765   844.79484006 ...     0.
      0.             0.        ]
 [  243.0709909    583.15246035  1017.38756277 ...     0.
      0.             0.        ]
 [  256.64128246   613.39024864  1071.34385225 ...     0.
      0.             0.        ]
 ...
 [ -295.24437404  -710.46610463 -1239.39351022 ... -5196.65495112
  -5061.2162365  -4742.91370606]
 [ -296.84819276  -714.32547991 -1246.12611103 ... -5224.88408339
  -5088.70964215 -4768.67803707]
 [ -297.33210995  -715.48996192 -1248.15752594 ... -5233.40160611
  -5097.00517546 -4776.45185997]]"
9,0,132.2359656630916,295,0.01,4,106.65215468452827,erode__k_factor,-2.185562167562436,data,"[[  201.89965727   485.08638765   844.79484006 ...     0.
      0.             0.        ]
 [  243.0709909    583.15246035  1017.38756277 ...     0.
      0.             0.        ]
 [  256.64128246   613.39024864  1071.34385225 ...     0.
      0.             0.        ]
 ...
 [ -295.24437404  -710.46610463 -1239.39351022 ... -5196.65495112
  -5061.2162365  -4742.91370606]
 [ -296.84819276  -714.32547991 -1246.12611103 ... -5224.88408339
  -5088.70964215 -4768.67803707]
 [ -297.33210995  -715.48996192 -1248.15752594 ... -5233.40160611
  -5097.00517546 -4776.45185997]]"
