,t,epsilon,samples,w,particle_id,distance,par_name,par_val,sumstat_name,sumstat_val
10,0,233.4567623864355,271,0.01,4,51.63433950508955,erode__k_depth_scale,27510.907297613452,params_for_record,[-1.45760651e+00  2.75109073e+04]
11,0,233.4567623864355,271,0.01,4,51.63433950508955,erode__k_factor,-1.4576065080752825,params_for_record,[-1.45760651e+00  2.75109073e+04]
12,0,233.4567623864355,271,0.01,5,107.1288437473095,erode__k_depth_scale,23877.38864583977,data,"[  46.11039399    0.            3.84568066    0.            3.83904972
    0.            3.8324416     0.            3.82585618    0.
  333.31298458  944.78500935 1317.44954563 1517.15566963 1715.5497809
 1961.40942893 2218.76485455 2391.71544671 2420.82904411 2235.26420926
 1999.14878981 1877.80505936 1872.08982186 1962.8430991  2085.80307039
 2245.02609669 2342.5279177  2408.95056065 2455.68631718 2528.09195773
 2634.78965883 2726.62625018 2813.62188957 2881.82175732 2908.08253108
 2971.21432353 3026.24688941 3044.72629585 3064.90076028 3061.22817174
 3034.49733929 2990.34508496 2971.85588226 3023.06065718 3114.98610701
 3295.91341702 3508.76206603 3678.81698998 3766.23105278 3774.25250207
 3736.49339292 3659.05978067 3589.30341251 3538.68565736 3486.56012506
 3435.67804367 3374.01733206 3312.38621555 3236.76399047 3153.15173705
 3088.56606123 3026.87153009 3014.21656521 2989.70680764 2984.17070558
 2980.37916878 2979.83898956 2963.24193076 2896.61504058 2811.25317241
 2633.87193757 2354.86256595 2013.45930204 1656.154131  ]"
13,0,233.4567623864355,271,0.01,5,107.1288437473095,erode__k_factor,-0.694990454515688,data,"[  46.11039399    0.            3.84568066    0.            3.83904972
    0.            3.8324416     0.            3.82585618    0.
  333.31298458  944.78500935 1317.44954563 1517.15566963 1715.5497809
 1961.40942893 2218.76485455 2391.71544671 2420.82904411 2235.26420926
 1999.14878981 1877.80505936 1872.08982186 1962.8430991  2085.80307039
 2245.02609669 2342.5279177  2408.95056065 2455.68631718 2528.09195773
 2634.78965883 2726.62625018 2813.62188957 2881.82175732 2908.08253108
 2971.21432353 3026.24688941 3044.72629585 3064.90076028 3061.22817174
 3034.49733929 2990.34508496 2971.85588226 3023.06065718 3114.98610701
 3295.91341702 3508.76206603 3678.81698998 3766.23105278 3774.25250207
 3736.49339292 3659.05978067 3589.30341251 3538.68565736 3486.56012506
 3435.67804367 3374.01733206 3312.38621555 3236.76399047 3153.15173705
 3088.56606123 3026.87153009 3014.21656521 2989.70680764 2984.17070558
 2980.37916878 2979.83898956 2963.24193076 2896.61504058 2811.25317241
 2633.87193757 2354.86256595 2013.45930204 1656.154131  ]"
14,0,233.4567623864355,271,0.01,5,107.1288437473095,erode__k_depth_scale,23877.38864583977,params_for_record,[-6.94990455e-01  2.38773886e+04]
15,0,233.4567623864355,271,0.01,5,107.1288437473095,erode__k_factor,-0.694990454515688,params_for_record,[-6.94990455e-01  2.38773886e+04]
16,0,233.4567623864355,271,0.01,6,193.34215247012688,erode__k_depth_scale,10289.303880599558,data,"[4.60383843e+01 1.11328197e+02 2.07389803e+02 3.26544842e+02
 5.01056531e+02 7.37260201e+02 1.01928190e+03 1.36998117e+03
 1.81761289e+03 2.44089772e+03 3.14402300e+03 3.80032834e+03
 4.21427470e+03 4.45581926e+03 4.69426548e+03 4.98005690e+03
 5.27617087e+03 5.48603466e+03 5.55145965e+03 5.40140982e+03
 5.19963519e+03 5.11082062e+03 5.13700726e+03 5.25961904e+03
 5.41246798e+03 5.60047735e+03 5.72622104e+03 5.81987168e+03
 5.89285166e+03 5.99048008e+03 6.12116737e+03 5.64431626e+03
 4.49901100e+03 3.78325164e+03 3.28806423e+03 2.95149379e+03
 2.65965510e+03 2.35623780e+03 2.07047583e+03 1.77557430e+03
 1.47367216e+03 1.17217294e+03 9.15451552e+02 7.48292667e+02
 6.42288542e+02 6.46061440e+02 7.03128502e+02 7.39245401e+02
 7.14385657e+02 6.30786764e+02 5.20390195e+02 3.87332864e+02
 2.76846601e+02 1.98412311e+02 1.29513440e+02 7.09571886e+01
 8.87643418e+00 9.98390035e-17 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
17,0,233.4567623864355,271,0.01,6,193.34215247012688,erode__k_factor,-2.3716666256819945,data,"[4.60383843e+01 1.11328197e+02 2.07389803e+02 3.26544842e+02
 5.01056531e+02 7.37260201e+02 1.01928190e+03 1.36998117e+03
 1.81761289e+03 2.44089772e+03 3.14402300e+03 3.80032834e+03
 4.21427470e+03 4.45581926e+03 4.69426548e+03 4.98005690e+03
 5.27617087e+03 5.48603466e+03 5.55145965e+03 5.40140982e+03
 5.19963519e+03 5.11082062e+03 5.13700726e+03 5.25961904e+03
 5.41246798e+03 5.60047735e+03 5.72622104e+03 5.81987168e+03
 5.89285166e+03 5.99048008e+03 6.12116737e+03 5.64431626e+03
 4.49901100e+03 3.78325164e+03 3.28806423e+03 2.95149379e+03
 2.65965510e+03 2.35623780e+03 2.07047583e+03 1.77557430e+03
 1.47367216e+03 1.17217294e+03 9.15451552e+02 7.48292667e+02
 6.42288542e+02 6.46061440e+02 7.03128502e+02 7.39245401e+02
 7.14385657e+02 6.30786764e+02 5.20390195e+02 3.87332864e+02
 2.76846601e+02 1.98412311e+02 1.29513440e+02 7.09571886e+01
 8.87643418e+00 9.98390035e-17 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
18,0,233.4567623864355,271,0.01,6,193.34215247012688,erode__k_depth_scale,10289.303880599558,params_for_record,[-2.37166663e+00  1.02893039e+04]
19,0,233.4567623864355,271,0.01,6,193.34215247012688,erode__k_factor,-2.3716666256819945,params_for_record,[-2.37166663e+00  1.02893039e+04]
