,t,epsilon,samples,w,particle_id,distance,par_name,par_val,sumstat_name,sumstat_val
0,0,170.90528488009517,331,0.01,2,86.16090741812761,erode__k_depth_scale,13430.359100682224,data,"[1.66375005e+01 0.00000000e+00 1.18050327e+00 7.06337871e+00
 0.00000000e+00 0.00000000e+00 8.19841656e+00 0.00000000e+00
 4.45077323e+02 1.23280596e+03 2.02947526e+03 2.64251578e+03
 2.96790818e+03 3.00523270e+03 2.81731447e+03 2.57008375e+03
 2.34136691e+03 2.12388897e+03 1.98564515e+03 1.95937871e+03
 1.97066770e+03 1.91876300e+03 2.03047755e+03 2.28312432e+03
 2.51681574e+03 2.74900348e+03 2.90677667e+03 2.89716283e+03
 2.77189266e+03 2.69661472e+03 2.66192861e+03 2.63775871e+03
 2.60860916e+03 2.58274707e+03 2.60373005e+03 2.57899992e+03
 2.56273037e+03 2.54000509e+03 2.49240835e+03 2.46259404e+03
 2.46991369e+03 2.46923983e+03 2.45730021e+03 2.43865859e+03
 2.41978027e+03 2.37060418e+03 2.31069926e+03 2.22295881e+03
 2.13603979e+03 2.07603387e+03 2.03645874e+03 1.99963956e+03
 1.97668498e+03 1.95403758e+03 1.92532261e+03 1.80407167e+03
 1.60155600e+03 1.47842704e+03 1.42733431e+03 1.37915662e+03
 1.37407576e+03 1.40324113e+03 1.34375991e+03 1.26241032e+03
 1.19529563e+03 1.14536932e+03]"
1,0,170.90528488009517,331,0.01,2,86.16090741812761,erode__k_factor,-0.9011719929996058,data,"[1.66375005e+01 0.00000000e+00 1.18050327e+00 7.06337871e+00
 0.00000000e+00 0.00000000e+00 8.19841656e+00 0.00000000e+00
 4.45077323e+02 1.23280596e+03 2.02947526e+03 2.64251578e+03
 2.96790818e+03 3.00523270e+03 2.81731447e+03 2.57008375e+03
 2.34136691e+03 2.12388897e+03 1.98564515e+03 1.95937871e+03
 1.97066770e+03 1.91876300e+03 2.03047755e+03 2.28312432e+03
 2.51681574e+03 2.74900348e+03 2.90677667e+03 2.89716283e+03
 2.77189266e+03 2.69661472e+03 2.66192861e+03 2.63775871e+03
 2.60860916e+03 2.58274707e+03 2.60373005e+03 2.57899992e+03
 2.56273037e+03 2.54000509e+03 2.49240835e+03 2.46259404e+03
 2.46991369e+03 2.46923983e+03 2.45730021e+03 2.43865859e+03
 2.41978027e+03 2.37060418e+03 2.31069926e+03 2.22295881e+03
 2.13603979e+03 2.07603387e+03 2.03645874e+03 1.99963956e+03
 1.97668498e+03 1.95403758e+03 1.92532261e+03 1.80407167e+03
 1.60155600e+03 1.47842704e+03 1.42733431e+03 1.37915662e+03
 1.37407576e+03 1.40324113e+03 1.34375991e+03 1.26241032e+03
 1.19529563e+03 1.14536932e+03]"
2,0,170.90528488009517,331,0.01,2,86.16090741812761,erode__k_depth_scale,13430.359100682224,params_for_record,[-9.01171993e-01  1.34303591e+04]
3,0,170.90528488009517,331,0.01,2,86.16090741812761,erode__k_factor,-0.9011719929996058,params_for_record,[-9.01171993e-01  1.34303591e+04]
4,0,170.90528488009517,331,0.01,3,94.68031226652943,erode__k_depth_scale,38345.397821887855,data,"[  15.40794257    0.            5.4995753     0.            5.48603213
    0.            5.47255544    0.          189.12129839  998.97509842
 1817.90558936 2452.36223618 2798.31897331 2855.34932703 2686.28386775
 2457.06648895 2245.53642686 2044.42799989 1921.74643982 1910.23849669
 1935.47425027 1896.69607023 2020.72311342 2284.85779097 2529.19145993
 2771.16719077 2937.87573155 2936.36265868 2818.39868229 2749.68696757
 2720.88080249 2701.95716482 2677.47333502 2655.75025231 2680.39854089
 2658.90900708 2645.50493755 2625.3165423  2579.9716886  2552.16526722
 2561.28521771 2562.23548337 2551.77166559 2534.48181124 2516.8518597
 2468.83779701 2410.02266062 2323.31082978 2237.36785635 2178.29141718
 2139.60269943 2103.62828331 2081.47673032 2059.58919131 2031.58853744
 1911.00343618 1709.10301683 1586.53772204 1535.95511547 1488.23107914
 1483.54471354 1513.04234646 1453.8278466  1372.67825525 1305.6966447
 1255.83666195]"
5,0,170.90528488009517,331,0.01,3,94.68031226652943,erode__k_factor,-0.8098259355472743,data,"[  15.40794257    0.            5.4995753     0.            5.48603213
    0.            5.47255544    0.          189.12129839  998.97509842
 1817.90558936 2452.36223618 2798.31897331 2855.34932703 2686.28386775
 2457.06648895 2245.53642686 2044.42799989 1921.74643982 1910.23849669
 1935.47425027 1896.69607023 2020.72311342 2284.85779097 2529.19145993
 2771.16719077 2937.87573155 2936.36265868 2818.39868229 2749.68696757
 2720.88080249 2701.95716482 2677.47333502 2655.75025231 2680.39854089
 2658.90900708 2645.50493755 2625.3165423  2579.9716886  2552.16526722
 2561.28521771 2562.23548337 2551.77166559 2534.48181124 2516.8518597
 2468.83779701 2410.02266062 2323.31082978 2237.36785635 2178.29141718
 2139.60269943 2103.62828331 2081.47673032 2059.58919131 2031.58853744
 1911.00343618 1709.10301683 1586.53772204 1535.95511547 1488.23107914
 1483.54471354 1513.04234646 1453.8278466  1372.67825525 1305.6966447
 1255.83666195]"
6,0,170.90528488009517,331,0.01,3,94.68031226652943,erode__k_depth_scale,38345.397821887855,params_for_record,[-8.09825936e-01  3.83453978e+04]
7,0,170.90528488009517,331,0.01,3,94.68031226652943,erode__k_factor,-0.8098259355472743,params_for_record,[-8.09825936e-01  3.83453978e+04]
8,0,170.90528488009517,331,0.01,4,80.55682365670029,erode__k_depth_scale,28177.463609885435,data,"[1.45605842e+01 7.08671362e+01 2.41767652e+02 4.88566479e+02
 7.96473702e+02 1.10495891e+03 1.44801196e+03 1.92645939e+03
 2.62968916e+03 3.51872202e+03 4.41414697e+03 5.12168281e+03
 5.53911601e+03 5.66400012e+03 5.56155955e+03 5.39464253e+03
 5.24364553e+03 4.66359454e+03 3.80166073e+03 3.29420717e+03
 2.97907007e+03 2.69248706e+03 2.62209508e+03 2.72236334e+03
 2.82006580e+03 2.92495047e+03 2.96000814e+03 2.83033878e+03
 2.58697491e+03 2.39551985e+03 2.24687895e+03 2.11144271e+03
 1.97423007e+03 1.84400749e+03 1.76479183e+03 1.64447100e+03
 1.53755938e+03 1.42942165e+03 1.30184767e+03 1.19759833e+03
 1.13609299e+03 1.07227148e+03 1.00287178e+03 9.32410078e+02
 8.67258028e+02 7.77230307e+02 6.81698839e+02 5.63323366e+02
 4.50469480e+02 3.68932835e+02 3.11980999e+02 2.61731171e+02
 2.29103910e+02 2.00397242e+02 1.69119522e+02 4.87083410e+01
 4.68892799e-16 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
9,0,170.90528488009517,331,0.01,4,80.55682365670029,erode__k_factor,-1.9772838987939192,data,"[1.45605842e+01 7.08671362e+01 2.41767652e+02 4.88566479e+02
 7.96473702e+02 1.10495891e+03 1.44801196e+03 1.92645939e+03
 2.62968916e+03 3.51872202e+03 4.41414697e+03 5.12168281e+03
 5.53911601e+03 5.66400012e+03 5.56155955e+03 5.39464253e+03
 5.24364553e+03 4.66359454e+03 3.80166073e+03 3.29420717e+03
 2.97907007e+03 2.69248706e+03 2.62209508e+03 2.72236334e+03
 2.82006580e+03 2.92495047e+03 2.96000814e+03 2.83033878e+03
 2.58697491e+03 2.39551985e+03 2.24687895e+03 2.11144271e+03
 1.97423007e+03 1.84400749e+03 1.76479183e+03 1.64447100e+03
 1.53755938e+03 1.42942165e+03 1.30184767e+03 1.19759833e+03
 1.13609299e+03 1.07227148e+03 1.00287178e+03 9.32410078e+02
 8.67258028e+02 7.77230307e+02 6.81698839e+02 5.63323366e+02
 4.50469480e+02 3.68932835e+02 3.11980999e+02 2.61731171e+02
 2.29103910e+02 2.00397242e+02 1.69119522e+02 4.87083410e+01
 4.68892799e-16 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
